Rk,Team,Inning,G,Runs,PA,AB,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
91,SDP,5,119,88,555,496,144,37,4,17,85,8,3,46,91,0.29,0.359,0.484,0.843,240,2,9,0,4,2,4,0.324,140,128
92,COL,6,118,87,549,497,152,27,5,15,82,4,0,44,99,0.306,0.365,0.471,0.836,234,10,4,1,3,2,4,0.355,128,132
93,SFG,2,116,87,524,462,134,29,5,25,83,6,1,40,121,0.29,0.358,0.537,0.894,248,11,13,1,8,0,3,0.336,147,159
94,HOU,5,118,85,530,481,141,27,1,25,82,7,0,38,96,0.293,0.348,0.509,0.857,245,5,5,1,5,1,3,0.318,130,131
95,LAD,1,115,82,518,470,134,31,0,22,77,9,0,41,109,0.285,0.346,0.492,0.837,231,4,4,0,3,0,2,0.328,112,126
96,LAD,8,115,81,521,462,128,27,5,16,78,5,2,54,109,0.277,0.353,0.461,0.814,213,9,2,0,3,2,3,0.329,107,139
97,LAD,2,115,80,510,444,117,35,0,21,79,5,2,53,129,0.264,0.345,0.484,0.829,215,10,6,0,7,1,2,0.319,110,141
98,NYY,1,117,80,507,443,114,29,0,30,76,6,2,52,91,0.257,0.345,0.526,0.871,233,14,9,0,3,0,2,0.259,127,134
99,NYY,5,117,79,505,458,122,27,2,28,79,9,2,39,109,0.266,0.327,0.518,0.844,237,11,4,0,4,2,6,0.289,119,126
100,COL,7,118,78,517,467,134,24,1,15,76,3,1,38,94,0.287,0.345,0.439,0.784,205,15,6,1,5,1,3,0.328,114,125
101,NYM,6,117,77,516,460,128,28,3,16,73,3,2,40,101,0.278,0.345,0.457,0.802,210,8,9,3,4,2,1,0.323,118,122
102,LAD,3,115,75,508,454,122,34,2,23,73,12,3,47,113,0.269,0.341,0.504,0.845,229,5,4,0,3,0,2,0.308,113,133
103,STL,1,115,75,508,451,125,23,3,20,69,7,3,44,107,0.277,0.343,0.475,0.817,214,7,5,0,8,0,2,0.316,120,121
104,CHC,1,115,74,497,434,115,28,2,20,70,9,14,46,128,0.265,0.349,0.477,0.826,207,7,12,0,4,0,5,0.328,131,124
