Rk,I,Team,Split,Year,G,R,GS,PA,AB,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,,LAD,Innings 1-3,2022,115,237,,1536,1368,373,100,2,66,229,26,5,141,351,0.273,0.344,0.493,0.837,675,19,14,0,13,1,6,0.319,112,133
2,,SDP,Innings 4-6,2022,119,214,,1577,1405,371,87,7,40,210,18,6,133,299,0.264,0.333,0.421,0.754,592,18,18,5,14,4,9,0.307,115,108
3,,HOU,Innings 4-6,2022,118,211,,1549,1385,361,78,5,61,202,18,4,136,266,0.261,0.33,0.456,0.786,632,20,13,3,12,2,9,0.28,111,116
4,,COL,Innings 4-6,2022,118,204,,1575,1423,404,80,12,32,194,16,4,121,295,0.284,0.343,0.425,0.767,604,37,14,2,14,2,11,0.335,110,113
5,,NYM,Innings 4-6,2022,117,202,,1527,1371,367,78,10,42,192,11,5,115,295,0.268,0.333,0.431,0.764,591,27,24,6,11,9,5,0.311,108,111
6,,NYY,Innings 4-6,2022,117,200,,1510,1352,340,57,3,68,192,23,7,128,320,0.252,0.32,0.449,0.769,607,26,14,2,13,5,9,0.278,102,111
7,,ATL,Innings 1-3,2022,118,199,,1514,1370,358,75,6,68,191,17,12,116,378,0.261,0.326,0.474,0.799,649,26,19,0,9,0,6,0.311,109,123
8,,TOR,Innings 1-3,2022,115,198,,1472,1333,353,78,3,53,192,16,10,116,293,0.265,0.328,0.447,0.775,596,39,13,2,7,0,10,0.302,104,117
9,,ATL,Innings 4-6,2022,118,196,,1507,1375,353,85,3,64,186,28,6,108,330,0.257,0.315,0.463,0.778,636,26,14,0,10,0,11,0.292,103,113
10,,CLE,Innings 1-3,2022,117,194,,1517,1382,376,75,10,32,186,27,9,102,257,0.272,0.328,0.41,0.738,567,32,19,1,13,3,15,0.311,111,107
11,,HOU,Innings 1-3,2022,118,194,,1518,1344,333,74,1,61,193,24,8,146,285,0.248,0.327,0.441,0.767,592,33,16,2,9,1,6,0.27,107,115
12,,SFG,Innings 1-3,2022,116,194,,1510,1332,330,68,8,53,185,12,3,138,356,0.248,0.327,0.43,0.758,573,31,26,1,13,0,14,0.296,111,112
13,,NYM,Innings 1-3,2022,117,193,,1538,1366,357,66,3,40,185,18,6,128,303,0.261,0.334,0.402,0.736,549,31,28,2,14,0,16,0.306,101,107
14,,NYY,Innings 7-9,2022,117,193,,1406,1206,283,43,2,58,182,32,5,166,329,0.235,0.334,0.418,0.752,504,25,19,4,9,7,15,0.272,99,120
15,,STL,Innings 1-3,2022,115,193,,1481,1338,349,69,6,48,182,21,9,108,290,0.261,0.323,0.429,0.752,574,24,20,1,13,1,8,0.297,103,111
